Designator,Footprint,Quantity,Value,LCSC Part #
2596-ADJ1,TO-263-5_TabPin3,1,REGULADOR ADJ,
A1,Arduino_Nano,1,Arduino_Nano_v2.x,
C1,CP_Radial_D6.3mm_P2.50mm,1,470uf 35v,
C2,0805,1,3.2n,
C3,CP_Radial_D6.3mm_P2.50mm,1,220UF,
D1,1206,1,LED,
D2,D_SMA,1,SS24,
D3,1206,1,LEDRELE,
D4,D_A-405_P7.62mm_Horizontal,1,1N5400,
J1,BarrelJack_Horizontal,1,12V,
J2,Altech_AK100_1x15_P5.00mm,1,Bornera 2,
J3,Altech_AK100_1x03_P5.00mm,1,Salida de relevador,
J4,Altech_AK100_1x15_P5.00mm,1,Bornera 1,
K1,Relay_SPDT_Omron-G5LE-1,1,G5LE-1,
L1,L_Bourns-SRN1060,1,330,
Q1,SOT-23,1,ntr4003nt1g O AO 3400,
"R1, R2, R6",1206,3,1K,
"R3, R4",1206,2,330,
R5,1206,1,10K,
