Designator,Mid X,Mid Y,Rotation,Layer
2596-ADJ1,100.21,-102.64,180.0,top
A1,124.52,-105.5,0.0,top
C1,109.182379,-124.08,180.0,top
C2,111.270858,-83.269714,90.0,top
C3,109.31,-114.94,180.0,top
D1,101.85,-111.37,180.0,top
D2,111.51,-90.11,90.0,top
D3,112.34,-70.08,180.0,top
D4,96.88,-70.34,0.0,top
J1,99.8925,-118.805,90.0,top
J2,140.21,-90.36,90.0,top
J3,108.05,-55.48,180.0,top
J4,84.25,-90.54,270.0,top
K1,125.59,-61.18,0.0,top
L1,97.53,-87.86,180.0,top
Q1,97.19,-75.65,270.0,top
R1,95.35,-111.34,0.0,top
R2,105.930858,-83.809714,270.0,top
R3,106.32,-91.23,90.0,top
R4,112.63,-76.41,0.0,top
R5,105.8,-70.19,180.0,top
R6,105.51,-76.36,180.0,top
